attendance,internal_marks,assignment_score,quiz_score,previous_gpa,semester,gender,AcademicRisk
93.88,78.46,62.89,62.25,2.61,2,Male,Low Risk
64.68,47.22,65.88,69.96,3.01,3,Female,Medium Risk
61.57,95.22,60.94,50.11,3.84,2,Male,Low Risk
80.6,73.57,65.18,67.81,3.28,3,Female,Low Risk
83.38,43.71,80.57,92.57,3.65,3,Female,Low Risk
93.97,57.48,91.81,57.51,2.54,8,Female,Low Risk
84.36,53.78,56.12,56.74,2.65,5,Female,Medium Risk
99.44,44.26,52.87,91.27,3.62,6,Female,Low Risk
67.72,85.66,72.38,88.06,3.56,6,Male,Low Risk
65.08,78.99,88.55,74.02,3.47,1,Female,Low Risk
82.09,70.47,97.72,57.28,2.24,2,Male,Low Risk
85.92,52.78,76.78,93.43,3.52,6,Female,Low Risk
66.42,63.61,94.75,87.2,3.01,1,Female,Low Risk
93.81,55.12,70.75,89.11,2.16,7,Male,Low Risk
60.13,72.78,81.37,54.75,3.64,4,Male,Low Risk
81.48,98.54,64.5,76.73,2.63,8,Female,Low Risk
36.12,65.8,38.9,90.17,2.57,8,Female,Medium Risk
89.94,50.84,84.69,82.27,2.66,5,Female,Low Risk
64.25,78.92,74.92,92.2,3.62,3,Female,Low Risk
85.13,63.76,53.14,98.16,3.03,4,Female,Low Risk
53.07,52.55,85.82,58.57,3.25,6,Male,Medium Risk
26.07,71.88,74.14,32.72,3.5,4,Male,Medium Risk
31.76,7.81,2.98,34.65,0.08,6,Male,High Risk
33.69,23.85,75.52,84.93,1.28,1,Male,High Risk
97.81,53.21,92.61,92.14,2.04,6,Female,Low Risk
78.01,82.02,66.24,62.87,3.01,2,Male,Low Risk
75.6,66.64,70.63,66.3,3.31,7,Female,Low Risk
98.32,79.17,59.29,81.86,2.58,6,Male,Low Risk
91.76,50.73,92.97,78.72,3.49,2,Male,Low Risk
91.41,67.92,70.37,74.31,2.31,3,Male,Low Risk
57.56,70.74,89.94,94.73,3.68,7,Male,Low Risk
80.73,52.6,22.4,58.04,0.87,5,Male,High Risk
50.05,98.57,98.47,25.11,3.53,5,Other,Low Risk
63.63,66.48,77.94,51.34,3.12,1,Female,Medium Risk
10.64,97.33,86.41,30.36,2.7,6,Female,Medium Risk
72.94,63.67,78.1,51.55,2.64,5,Female,Medium Risk
92.29,55.78,35.82,90.87,1.55,4,Female,Medium Risk
61.63,75.24,61.1,77.81,2.6,3,Female,Medium Risk
97.94,84.76,97.91,52.26,2.56,1,Male,Low Risk
79.68,62.42,90.81,96.16,3.14,8,Male,Low Risk
90.69,89.05,76.19,53.2,3.54,6,Male,Low Risk
69.74,68.53,56.77,55.33,3.29,5,Female,Medium Risk
69.42,25.39,6.38,38.5,1.27,8,Other,High Risk
97.05,53.13,86.27,97.2,2.79,8,Male,Low Risk
89.72,66.81,80.18,58.59,3.38,1,Male,Low Risk
59.08,36.04,28.87,20.29,3.65,7,Other,Medium Risk
86.53,60.55,86.92,56.33,2.86,2,Male,Low Risk
60.42,83.71,41.72,85.25,3.58,4,Other,Low Risk
69.28,97.83,75.89,70.49,2.48,7,Male,Low Risk
1.21,55.65,51.23,80.74,1.42,6,Female,High Risk
98.83,99.04,59.7,51.76,3.43,8,Female,Low Risk
92.26,76.7,70.39,86.14,2.46,5,Male,Low Risk
83.37,61.51,87.44,64.05,2.26,5,Female,Medium Risk
75.4,97.78,38.94,80.99,2.52,8,Other,Low Risk
57.17,58.82,58.15,74.48,3.74,6,Male,Medium Risk
51.24,97.18,75.95,77.54,2.66,1,Other,Low Risk
73.36,46.13,68.08,52.21,3.34,4,Female,Medium Risk
78.17,39.03,6.59,79.27,2.39,7,Other,Medium Risk
51.77,84.74,2.75,77.72,0.47,2,Other,High Risk
86.69,85.12,54.22,56.53,2.31,6,Female,Medium Risk
87.11,66.38,74.32,94.91,2.77,4,Male,Low Risk
82.28,96.02,57.25,92.26,2.4,4,Male,Low Risk
81.37,80.62,57.22,85.45,2.75,3,Male,Low Risk
80.09,69.38,68.94,88.92,2.41,8,Female,Low Risk
55.42,56.59,92.14,60.21,2.41,4,Male,Medium Risk
54.49,70.66,74.68,99.16,3.83,6,Male,Low Risk
98.02,86.99,71.5,72.05,1.14,4,Other,Low Risk
72.12,95.92,89.47,93.36,1.72,1,Male,Low Risk
57.38,53.68,92.5,96.47,2.05,4,Female,Medium Risk
91.13,47.11,94.87,71.27,2.79,1,Male,Low Risk
64.83,94.91,99.47,97.43,2.84,4,Male,Low Risk
64.19,48.42,70.61,97.55,3.04,7,Male,Medium Risk
82.16,50.69,82.03,55.65,2.86,7,Female,Medium Risk
64.22,58.31,59.12,55.16,2.44,8,Female,Medium Risk
90.25,94.19,53.41,26.57,3.2,4,Male,Low Risk
95.12,79.83,51.02,67.28,3.53,5,Male,Low Risk
56.2,79.24,62.8,61.17,2.53,3,Female,Medium Risk
90.55,56.35,6.78,27.08,2.83,8,Female,Medium Risk
76.75,75.75,87.07,67.06,3.66,1,Female,Low Risk
91.76,91.28,79.92,76.3,2.24,4,Male,Low Risk
82.68,57.42,48.46,99.29,2.89,1,Other,Low Risk
64.57,62.47,85.52,71.98,2.13,7,Female,Medium Risk
52.03,48.81,64.28,70.25,2.34,3,Male,Medium Risk
95.15,48.32,95.57,54.87,2.78,2,Female,Low Risk
78.99,47.59,89.27,55.57,3.75,8,Female,Low Risk
54.57,54.35,89.89,97.18,2.82,7,Female,Low Risk
17.98,10.26,19.59,79.56,1.17,1,Other,High Risk
60.4,49.56,80.44,84.57,3.08,3,Male,Medium Risk
94.54,46.35,51.12,80.52,3.71,1,Female,Low Risk
93.23,99.13,84.45,86.79,3.26,3,Male,Low Risk
92.5,82.03,52.19,84.37,3.23,4,Female,Low Risk
61.38,63.71,86.6,66.91,2.82,7,Male,Medium Risk
92.56,72.22,87.2,69.27,3.97,7,Male,Low Risk
54.84,14.59,7.92,95.72,1.7,4,Female,High Risk
97.26,75.68,98.82,70.25,2.85,1,Male,Low Risk
97.55,95.48,82.97,62.97,2.58,7,Female,Low Risk
83.84,66.22,56.71,97.03,2.98,6,Female,Low Risk
53.66,43.46,13.18,12.57,3.81,1,Female,High Risk
17.07,43.41,12.88,96.01,0.25,7,Male,High Risk
54.85,84.29,56.48,78.02,2.15,6,Female,Medium Risk
70.32,91.74,83.41,95.56,3.98,4,Female,Low Risk
61.99,86.38,53.03,74.55,2.06,4,Male,Medium Risk
87.07,86.71,66.59,88.07,2.1,1,Male,Low Risk
79.01,19.76,37.21,78.02,2.11,4,Male,Medium Risk
89.47,31.62,3.11,30.83,0.82,5,Female,High Risk
68.68,74.46,50.04,99.55,3.91,2,Female,Low Risk
54.17,93.9,61.52,92.85,3.78,3,Male,Low Risk
88.18,80.26,92.4,74.33,2.01,3,Male,Low Risk
59.32,45.25,80.88,97.89,3.62,1,Female,Low Risk
62.24,54.92,84.9,50.16,3.35,8,Female,Medium Risk
86.19,78.93,63.22,69.61,2.15,6,Female,Low Risk
81.95,21.79,75.01,79.26,3.68,8,Other,Low Risk
61.31,91.79,99.36,78.01,2.25,7,Female,Low Risk
96.57,68.06,50.11,82.33,3.25,2,Female,Low Risk
95.76,78.92,79.86,81.29,2.09,5,Male,Low Risk
80.37,70.31,71.09,61.42,2.83,4,Female,Low Risk
87.81,37.45,10.11,81.1,1.93,2,Female,Medium Risk
88.74,74.71,66.06,76.24,3.97,7,Male,Low Risk
63.59,82.02,53.72,84.13,2.44,5,Female,Medium Risk
17.5,76.48,36.06,78.28,0.83,7,Male,High Risk
97.79,45.27,75.36,59.19,3.69,1,Female,Low Risk
70.16,98.63,94.97,41.89,2.55,6,Other,Low Risk
74.28,55.53,77.63,76.38,3.03,8,Female,Low Risk
58.35,96.54,76.71,56.48,2.57,6,Female,Medium Risk
39.4,56.22,92.87,16.28,2.2,1,Male,Medium Risk
57.64,60.95,83.21,90.11,2.81,3,Male,Low Risk
95.39,47.98,70.95,89.9,3.31,7,Female,Low Risk
95.2,81.37,71.16,77.4,1.36,6,Male,Low Risk
98.3,57.2,95.02,88.4,2.8,2,Male,Low Risk
68.75,46.45,79.01,90.63,2.83,4,Female,Medium Risk
60.88,26.73,22.2,11.39,2.64,3,Other,High Risk
65.76,56.31,94.85,79.39,2.94,2,Male,Low Risk
85.51,99.62,90.51,72.81,2.5,7,Female,Low Risk
96.72,68.6,9.01,69.32,2.41,4,Female,Medium Risk
68.15,59.19,97.1,64.09,2.62,8,Male,Medium Risk
57.45,47.5,53.17,6.73,3.59,4,Other,Medium Risk
52.77,62.61,62.24,83.1,3.03,7,Female,Medium Risk
20.99,12.39,16.61,62.59,0.41,7,Other,High Risk
64.07,63.52,91.07,80.96,2.04,7,Female,Medium Risk
96.58,99.58,92.38,87.08,1.12,2,Other,Low Risk
69.59,58.45,51.93,55.44,0.89,5,Other,Medium Risk
33.45,89.08,71.97,92.85,3.63,8,Other,Low Risk
74.66,90.74,50.95,70.75,3.44,4,Male,Low Risk
75.32,94.08,50.28,62.07,2.51,1,Female,Low Risk
68.76,87.21,70.41,53.51,3.9,5,Male,Low Risk
75.59,93.05,80.23,73.37,2.94,4,Male,Low Risk
61.33,89.5,75.39,54.29,2.15,1,Female,Medium Risk
72.07,84.31,95.47,58.9,3.21,3,Female,Low Risk
74.53,92.82,82.16,63.32,3.69,5,Female,Low Risk
99.86,97.64,92.78,88.64,3.73,3,Female,Low Risk
96.38,79.74,57.48,99.18,2.13,8,Male,Low Risk
86.06,67.48,84.98,50.25,2.68,4,Female,Low Risk
93.78,84.8,80.98,81.0,2.46,6,Male,Low Risk
90.49,46.43,67.38,73.42,2.47,4,Male,Medium Risk
96.41,98.84,52.86,89.87,2.78,3,Male,Low Risk
71.75,72.3,96.68,92.56,2.05,2,Female,Low Risk
31.8,50.45,87.5,85.11,0.17,4,Male,High Risk
25.79,69.29,98.73,15.06,0.35,6,Other,High Risk
85.33,84.55,63.01,81.09,3.36,5,Male,Low Risk
53.91,43.41,77.96,63.0,2.19,4,Male,Medium Risk
84.62,7.07,3.05,46.52,3.82,8,Male,Medium Risk
70.84,14.13,27.61,65.59,1.92,6,Other,High Risk
83.92,61.85,69.71,67.54,2.73,5,Female,Low Risk
55.42,96.62,72.22,91.9,2.4,8,Male,Low Risk
63.3,71.04,64.92,98.77,3.54,4,Female,Low Risk
67.81,90.6,62.82,95.71,2.46,1,Male,Low Risk
10.24,56.09,9.88,10.29,1.92,7,Female,High Risk
58.23,47.74,76.26,41.5,3.41,4,Male,Medium Risk
89.37,42.6,32.78,50.25,1.67,4,Male,Medium Risk
83.74,89.99,87.5,68.2,3.66,1,Male,Low Risk
98.32,79.2,96.64,57.27,3.88,7,Male,Low Risk
99.24,42.99,52.25,88.5,3.61,7,Female,Low Risk
84.67,66.0,95.98,68.93,3.09,7,Female,Low Risk
70.32,49.91,85.21,73.82,3.06,4,Other,Low Risk
59.97,85.72,87.55,65.83,3.77,4,Male,Low Risk
22.73,38.96,75.19,15.7,3.72,5,Male,Medium Risk
79.57,20.17,19.71,44.57,3.78,6,Female,Medium Risk
55.43,62.8,56.7,76.28,3.99,8,Female,Low Risk
91.85,49.73,95.66,78.42,3.13,1,Male,Low Risk
90.5,39.36,88.89,32.74,3.72,8,Male,Low Risk
24.57,23.07,2.72,95.85,2.84,1,Female,High Risk
82.62,76.48,38.44,64.19,3.43,1,Male,Low Risk
89.9,42.71,82.31,82.39,3.75,4,Male,Low Risk
95.08,52.46,2.26,26.0,2.49,1,Male,Medium Risk
86.21,82.64,54.46,66.88,3.89,3,Female,Low Risk
94.5,94.71,66.61,85.73,2.24,7,Other,Low Risk
87.56,85.76,81.93,74.53,2.26,5,Female,Low Risk
85.47,72.87,80.77,74.89,3.1,2,Female,Low Risk
54.06,23.9,71.29,50.06,0.71,7,Female,High Risk
92.95,77.36,61.0,93.89,2.7,5,Male,Low Risk
63.33,58.62,56.22,92.81,3.69,3,Male,Low Risk
50.4,57.41,94.56,83.55,2.87,6,Male,Medium Risk
94.35,96.72,68.16,67.17,2.56,2,Female,Low Risk
70.96,89.71,69.86,86.85,2.52,7,Male,Low Risk
73.47,57.05,51.91,94.39,2.34,7,Female,Medium Risk
66.15,57.81,87.78,80.24,2.17,7,Male,Medium Risk
53.06,90.52,86.51,76.83,3.03,4,Female,Low Risk
78.27,98.28,94.04,57.71,3.99,2,Male,Low Risk
55.52,44.68,78.06,67.28,3.35,2,Male,Medium Risk
89.74,28.72,60.33,84.21,3.46,5,Male,Low Risk
94.72,99.77,60.87,77.68,3.02,3,Female,Low Risk
91.41,98.78,86.44,92.59,3.66,4,Male,Low Risk
90.56,27.86,64.79,4.05,1.98,1,Female,Medium Risk
77.12,68.94,81.99,86.03,3.08,3,Female,Low Risk
53.19,18.72,98.86,81.83,2.97,3,Female,Medium Risk
53.1,69.33,95.85,79.07,3.48,2,Male,Low Risk
99.18,77.4,56.2,61.14,2.45,6,Male,Low Risk
7.02,5.69,91.6,31.21,3.93,1,Other,High Risk
15.43,93.18,76.15,92.27,3.67,6,Female,Low Risk
51.75,51.48,95.79,81.18,2.35,8,Female,Medium Risk
85.88,95.78,63.35,59.16,3.45,3,Female,Low Risk
64.62,79.05,91.55,83.02,2.29,4,Female,Low Risk
34.57,69.85,98.1,42.48,1.57,7,Female,Medium Risk
58.34,86.02,98.83,95.01,2.32,2,Male,Low Risk
62.08,77.08,83.15,59.59,3.27,5,Female,Low Risk
81.34,50.81,71.33,91.72,2.31,3,Female,Medium Risk
82.73,65.56,81.62,73.92,2.61,8,Female,Low Risk
83.23,55.21,92.28,96.47,2.71,1,Male,Low Risk
97.49,42.28,85.8,68.65,3.11,1,Male,Low Risk
88.67,86.38,55.63,93.23,3.63,3,Female,Low Risk
70.57,77.43,55.07,87.96,3.52,7,Female,Low Risk
83.79,61.67,50.76,65.15,3.36,3,Female,Low Risk
96.92,63.47,58.62,61.12,3.11,2,Female,Low Risk
48.8,14.95,35.0,71.73,0.7,4,Female,High Risk
80.27,54.89,70.4,30.99,3.87,3,Male,Low Risk
54.2,74.35,78.79,73.3,3.32,6,Male,Low Risk
87.57,29.53,42.54,95.9,3.78,7,Other,Low Risk
14.66,55.92,18.32,30.64,3.76,4,Other,High Risk
88.71,62.46,69.89,74.32,3.28,4,Male,Low Risk
93.89,86.4,74.39,91.78,1.06,3,Other,Low Risk
85.07,52.37,52.81,84.08,3.17,4,Male,Low Risk
28.55,45.31,85.66,72.86,1.89,6,Male,Medium Risk
71.63,81.59,90.55,61.42,2.55,8,Male,Low Risk
57.68,50.63,93.67,71.33,2.09,8,Male,Medium Risk
5.26,94.55,39.25,92.39,2.32,8,Male,Medium Risk
98.57,40.59,69.07,56.58,2.86,5,Male,Medium Risk
63.94,67.29,72.97,61.57,3.46,7,Male,Low Risk
94.91,79.33,74.66,93.88,3.24,4,Female,Low Risk
52.85,46.8,67.61,96.45,3.17,7,Male,Medium Risk
71.58,84.29,64.52,85.91,3.54,3,Female,Low Risk
82.76,63.17,75.81,35.45,3.88,4,Other,Low Risk
83.86,87.11,15.17,11.68,3.7,2,Male,Medium Risk
70.3,47.06,65.53,89.84,2.09,7,Male,Medium Risk
33.69,60.64,65.85,82.96,0.1,4,Male,High Risk
70.74,42.72,51.65,84.64,3.29,3,Male,Medium Risk
64.42,47.15,80.43,81.33,2.83,1,Male,Medium Risk
60.22,66.02,55.05,98.68,3.31,1,Female,Low Risk
63.27,80.15,64.34,70.48,3.22,2,Male,Low Risk
79.53,70.09,76.33,60.12,3.42,3,Male,Low Risk
91.99,76.72,56.36,57.89,3.48,4,Male,Low Risk
53.61,49.64,82.57,85.13,2.24,4,Female,Medium Risk
79.56,65.64,87.93,50.95,3.15,2,Male,Low Risk
33.78,27.21,15.1,13.95,2.85,8,Male,High Risk
85.94,70.26,59.76,95.65,3.04,3,Female,Low Risk
86.48,94.9,52.19,53.0,3.91,2,Female,Low Risk
14.66,43.2,28.4,11.88,2.05,1,Male,High Risk
69.21,84.56,78.47,91.18,3.31,8,Male,Low Risk
74.08,54.51,60.83,61.69,2.2,6,Male,Medium Risk
2.77,3.82,13.42,57.05,3.23,1,Other,High Risk
42.7,70.78,66.53,21.7,1.21,4,Female,High Risk
95.89,85.82,76.15,96.87,2.04,5,Male,Low Risk
78.28,64.34,66.77,66.54,2.4,8,Male,Medium Risk
94.44,60.31,84.38,54.56,2.82,7,Male,Low Risk
54.33,48.31,50.1,61.71,3.81,8,Male,Medium Risk
19.95,18.51,89.03,89.17,2.0,5,Male,High Risk
92.81,49.24,60.06,86.67,2.89,2,Female,Low Risk
19.61,67.95,34.31,4.93,1.21,5,Other,High Risk
54.64,58.95,69.11,80.06,3.88,8,Male,Low Risk
56.07,46.37,72.53,77.01,2.99,2,Male,Medium Risk
85.29,59.54,88.22,77.54,3.73,6,Female,Low Risk
99.56,53.91,86.8,87.67,1.92,8,Male,Low Risk
74.73,79.3,1.7,98.05,3.83,2,Male,Low Risk
97.07,85.63,63.57,87.2,3.31,7,Male,Low Risk
81.43,73.14,91.9,82.48,2.14,5,Male,Low Risk
99.33,17.62,7.7,58.98,0.1,4,Male,High Risk
95.76,71.31,76.24,67.55,3.86,8,Male,Low Risk
56.05,80.85,55.56,79.01,2.29,5,Male,Medium Risk
79.32,43.2,53.79,61.41,3.81,6,Male,Medium Risk
43.26,20.57,55.34,70.21,3.52,3,Male,Medium Risk
81.69,72.65,78.1,75.05,3.33,8,Male,Low Risk
50.01,84.88,63.33,62.79,3.99,2,Female,Low Risk
59.76,92.87,53.91,97.39,2.77,2,Male,Low Risk
97.04,99.01,46.29,91.38,3.19,1,Other,Low Risk
72.86,93.92,69.44,73.88,3.85,1,Female,Low Risk
95.76,30.27,98.62,37.84,0.8,7,Male,Medium Risk
77.07,63.57,83.72,78.57,2.44,1,Male,Low Risk
97.31,82.64,62.31,95.15,2.34,3,Male,Low Risk
36.94,0.11,96.18,54.96,2.39,4,Female,High Risk
68.25,47.05,91.79,59.38,3.74,2,Female,Low Risk
68.19,99.83,82.38,61.68,2.74,8,Female,Low Risk
59.49,21.21,18.46,63.94,0.84,5,Female,High Risk
90.13,52.52,92.33,96.43,2.28,7,Female,Low Risk
77.59,42.43,80.76,88.58,2.1,2,Female,Medium Risk
60.37,35.42,18.79,13.43,2.98,2,Female,High Risk
73.44,54.72,55.41,85.2,2.86,5,Female,Medium Risk
64.81,47.59,76.21,70.29,3.3,7,Male,Medium Risk
50.61,74.13,59.16,62.23,3.92,1,Male,Low Risk
90.53,78.82,90.07,83.34,3.9,3,Female,Low Risk
63.5,94.31,61.21,63.61,3.45,8,Female,Low Risk
79.31,85.93,62.6,55.61,2.47,1,Male,Low Risk
87.04,68.96,69.22,86.05,2.83,4,Male,Low Risk
73.31,64.51,85.87,50.98,3.52,1,Female,Low Risk
69.41,48.18,63.87,84.28,2.31,5,Male,Medium Risk
