attendance,internal_marks,assignment_score,quiz_score,previous_gpa,semester,gender,performance_score,AcademicRisk
69.44,24.07,77.28,28.65,2.48,5,Other,53.56,Medium Risk
86.6,39.02,82.74,5.65,1.19,7,Male,50.15,Medium Risk
86.38,51.37,25.42,69.3,1.74,3,Other,56.95,Medium Risk
47.25,59.32,39.33,50.42,0.42,6,Male,39.76,High Risk
88.24,95.18,44.94,42.04,3.57,4,Female,76.46,Low Risk
79.79,77.72,86.88,29.29,1.86,6,Male,64.54,Medium Risk
68.88,53.27,38.79,81.23,2.84,1,Female,63.63,Medium Risk
63.38,98.74,85.8,97.51,3.8,3,Male,86.84,Low Risk
3.16,14.42,61.42,23.26,2.66,1,Female,33.0,High Risk
98.34,81.17,78.11,36.03,2.44,6,Female,73.19,Low Risk
73.96,75.63,77.5,77.76,2.84,1,Male,74.66,Low Risk
10.82,24.02,27.39,3.28,1.12,3,Male,19.11,High Risk
22.18,34.52,89.85,43.16,1.67,5,Female,42.84,High Risk
52.2,32.01,22.51,47.16,3.37,5,Other,50.97,Medium Risk
76.92,62.52,25.05,96.15,3.59,2,Other,72.35,Low Risk
0.11,86.61,42.94,49.21,0.33,2,Other,33.23,High Risk
77.94,29.26,80.39,32.81,3.22,4,Male,62.44,Medium Risk
38.75,36.35,14.97,59.68,2.41,3,Female,43.22,High Risk
93.1,63.49,84.31,90.59,3.72,8,Other,85.46,Low Risk
84.85,89.7,39.08,94.86,3.1,1,Female,78.62,Low Risk
49.41,30.03,47.72,35.97,0.9,6,Male,36.54,High Risk
10.8,89.13,20.47,53.41,2.38,6,Male,46.48,High Risk
32.15,41.28,86.37,2.21,1.74,5,Other,40.46,High Risk
65.23,94.28,82.11,40.22,3.14,7,Male,73.14,Low Risk
25.43,91.88,45.45,60.34,3.94,1,Female,65.23,Medium Risk
15.46,87.6,97.0,95.69,3.93,8,Other,74.85,Low Risk
92.34,32.28,98.06,67.4,3.0,4,Female,73.11,Low Risk
94.91,76.79,20.44,19.44,3.52,1,Male,67.07,Medium Risk
55.7,21.03,73.55,68.13,1.45,8,Male,48.45,High Risk
81.55,94.21,72.17,10.56,2.6,8,Male,67.89,Medium Risk
26.59,96.92,77.88,71.69,1.8,6,Male,59.72,Medium Risk
39.79,32.46,70.54,58.79,3.39,5,Female,57.03,Medium Risk
82.92,59.41,24.49,74.57,0.34,4,Other,49.6,High Risk
98.1,73.68,20.58,96.64,2.73,4,Other,73.91,Low Risk
45.97,45.05,14.31,97.65,0.06,5,Male,37.67,High Risk
30.32,15.42,72.01,58.2,0.8,1,Other,35.2,High Risk
63.93,57.54,78.12,77.26,3.48,6,Male,72.55,Low Risk
37.15,64.91,7.67,48.09,0.39,3,Male,33.07,High Risk
82.08,17.71,35.95,40.11,1.2,3,Male,42.97,High Risk
75.55,50.7,42.98,99.59,2.67,8,Male,67.1,Medium Risk
53.34,69.56,19.55,43.64,1.78,8,Male,47.85,High Risk
17.03,6.91,72.79,28.81,2.89,1,Male,38.94,High Risk
53.04,59.35,2.18,51.51,1.38,7,Female,41.81,High Risk
52.65,17.0,81.82,58.42,1.05,2,Other,44.16,High Risk
37.69,91.88,65.97,92.92,1.9,5,Female,63.51,Medium Risk
89.48,10.09,86.35,49.78,1.71,1,Female,55.49,Medium Risk
90.17,41.48,73.78,89.9,3.96,3,Female,80.14,Low Risk
39.41,41.66,0.17,11.21,3.45,2,Male,41.45,High Risk
74.52,63.88,19.43,89.63,3.89,4,Female,72.08,Low Risk
63.53,53.48,45.29,48.22,3.08,3,Female,59.85,Medium Risk
28.84,53.36,52.49,85.04,3.98,6,Male,63.39,Medium Risk
98.98,94.87,26.55,44.18,3.58,2,Male,76.7,Low Risk
10.91,91.67,59.91,38.85,2.03,7,Male,48.56,High Risk
84.18,72.12,95.34,47.53,3.91,7,Female,81.34,Low Risk
8.67,94.96,46.3,63.02,0.09,5,Male,38.12,High Risk
88.87,52.17,82.37,10.73,3.94,5,Other,71.24,Low Risk
28.45,89.7,23.51,32.53,3.64,3,Female,56.21,Medium Risk
64.04,54.61,12.4,39.27,1.25,7,Other,42.5,High Risk
43.9,73.42,86.76,75.84,3.97,5,Other,74.86,Low Risk
74.48,96.75,32.58,37.05,1.88,7,Male,60.16,Medium Risk
71.27,44.74,34.61,46.77,0.68,4,Other,43.22,High Risk
18.1,51.68,66.08,22.37,2.07,1,Female,41.07,High Risk
36.77,60.03,8.48,38.27,1.04,2,Other,34.71,High Risk
36.85,50.07,62.06,40.56,1.73,8,Male,45.43,High Risk
17.79,61.31,1.41,92.77,1.06,3,Male,37.46,High Risk
6.44,75.69,92.15,62.13,2.4,1,Male,54.89,Medium Risk
93.97,58.38,52.0,27.37,1.13,5,Male,54.14,Medium Risk
98.67,97.98,33.73,48.27,0.4,2,Female,59.06,Medium Risk
72.5,50.53,38.9,12.38,3.14,6,Female,55.55,Medium Risk
84.92,16.05,84.79,1.22,1.77,3,Female,48.4,High Risk
70.58,30.18,90.3,4.51,3.74,7,Other,61.28,Medium Risk
72.15,89.07,60.05,66.3,3.74,4,Female,78.18,Low Risk
81.13,37.26,66.35,91.03,3.12,2,Other,70.84,Low Risk
87.83,84.71,76.43,40.77,0.57,3,Other,60.04,Medium Risk
50.6,10.08,65.88,13.4,2.04,5,Male,39.31,High Risk
15.29,92.07,34.14,5.01,1.37,1,Other,36.67,High Risk
58.73,82.54,59.0,60.49,3.52,2,Male,71.11,Low Risk
72.15,86.95,55.93,92.63,3.55,6,Other,79.9,Low Risk
98.87,47.39,96.19,17.87,3.74,3,Male,74.68,Low Risk
84.94,79.85,92.63,32.74,3.48,4,Female,77.76,Low Risk
46.8,52.86,26.54,96.37,3.65,5,Other,63.52,Medium Risk
32.04,62.89,91.29,35.78,3.44,5,Other,61.15,Medium Risk
43.84,27.25,65.88,56.96,0.86,5,Other,40.21,High Risk
62.0,74.47,49.39,61.84,1.03,7,Other,53.52,Medium Risk
80.09,59.37,78.26,79.51,3.78,1,Male,79.19,Low Risk
87.74,12.2,11.43,30.03,1.72,7,Male,41.34,High Risk
85.14,86.33,87.14,18.26,3.9,4,Female,78.74,Low Risk
72.0,62.12,52.99,57.83,2.76,7,Male,64.3,Medium Risk
71.58,88.64,4.48,86.74,3.67,3,Female,72.24,Low Risk
89.25,45.63,72.01,46.72,3.76,1,Other,72.75,Low Risk
1.67,17.45,16.56,9.8,2.94,2,Male,26.24,High Risk
87.85,44.87,66.85,37.65,1.28,4,Male,54.61,Medium Risk
86.42,89.52,8.27,87.39,2.91,2,Female,72.05,Low Risk
27.55,98.38,72.22,77.81,3.07,4,Male,68.26,Medium Risk
80.69,86.25,21.16,4.21,1.62,8,Other,51.35,Medium Risk
16.1,67.41,6.0,58.98,2.74,4,Female,44.38,High Risk
85.82,77.91,73.58,12.26,3.89,6,Female,74.23,Low Risk
70.56,78.91,86.29,3.44,3.97,7,Male,71.69,Low Risk
10.12,17.47,93.27,24.71,2.65,7,Male,40.28,High Risk
65.5,99.56,1.58,55.76,3.0,4,Other,63.64,Medium Risk
80.07,92.39,76.03,71.81,3.25,2,Male,80.98,Low Risk
24.56,4.26,22.36,45.49,1.66,1,Male,27.54,High Risk
78.76,18.52,56.22,10.19,2.61,3,Other,49.67,High Risk
71.93,7.04,8.11,46.63,3.98,2,Female,52.48,Medium Risk
89.5,22.98,52.1,84.99,1.51,7,Male,56.97,Medium Risk
3.61,45.73,66.05,88.77,2.38,1,Other,48.15,High Risk
72.63,52.77,20.69,64.9,2.37,7,Other,56.36,Medium Risk
17.07,43.41,12.88,96.01,0.25,7,Male,30.85,High Risk
72.7,86.41,14.33,28.83,0.78,5,Male,46.81,High Risk
65.9,43.15,24.81,84.71,1.98,1,Female,53.91,Medium Risk
78.2,95.21,35.96,16.86,3.8,6,Other,70.27,Low Risk
26.06,15.81,84.28,8.49,3.87,7,Female,47.78,High Risk
94.05,48.45,2.7,91.48,3.72,7,Other,70.58,Low Risk
73.85,88.93,73.23,73.65,3.22,6,Male,78.41,Low Risk
96.43,30.63,2.35,25.49,0.68,6,Female,38.66,High Risk
77.87,77.62,51.6,88.23,3.73,5,Male,79.28,Low Risk
47.35,26.7,33.16,52.07,1.76,3,Male,40.96,High Risk
29.92,76.12,2.28,10.41,0.65,5,Male,28.67,High Risk
89.16,27.4,92.36,14.1,2.43,8,Male,58.93,Medium Risk
62.75,92.33,17.17,80.07,2.53,5,Other,64.55,Medium Risk
80.36,73.89,85.55,18.92,3.4,1,Other,71.79,Low Risk
56.88,83.74,36.59,91.38,2.59,1,Male,66.35,Medium Risk
6.19,2.55,59.96,7.16,3.73,7,Other,35.44,High Risk
40.86,59.47,43.62,57.9,2.07,2,Other,50.27,Medium Risk
51.77,17.75,56.31,94.83,2.82,4,Male,56.79,Medium Risk
70.44,55.62,79.94,62.11,3.28,1,Male,70.54,Low Risk
92.73,11.84,52.95,99.29,3.41,3,Other,69.7,Medium Risk
36.84,26.71,82.89,14.45,2.58,6,Other,45.28,High Risk
2.01,15.74,66.61,62.96,3.74,3,Other,46.46,High Risk
4.78,59.85,77.69,3.61,3.13,1,Other,44.92,High Risk
69.43,79.4,62.79,94.37,3.21,5,Female,76.87,Low Risk
87.81,37.45,10.11,81.1,1.93,2,Female,55.19,Medium Risk
37.41,58.64,91.48,32.7,2.32,5,Other,54.21,Medium Risk
76.03,56.44,50.88,72.69,2.82,7,Other,66.46,Medium Risk
38.0,35.06,61.05,28.13,0.57,5,Other,33.45,High Risk
18.45,9.46,34.8,95.23,2.46,3,Female,41.38,High Risk
64.01,17.73,3.72,79.17,0.67,5,Male,36.17,High Risk
94.0,62.74,52.04,79.8,1.03,7,Other,62.26,Medium Risk
48.7,96.63,75.63,49.7,1.92,2,Male,62.3,Medium Risk
78.08,93.85,72.84,44.12,3.51,2,Female,77.77,Low Risk
73.26,81.08,72.65,65.87,3.3,5,Female,75.93,Low Risk
63.1,90.51,31.38,84.8,2.74,8,Male,68.43,Medium Risk
85.07,59.7,81.53,92.38,2.7,2,Male,76.17,Low Risk
89.82,56.8,72.98,88.91,2.66,2,Other,74.72,Low Risk
63.31,66.89,75.43,97.32,3.92,8,Male,79.62,Low Risk
63.88,24.89,1.94,40.42,2.15,6,Female,40.74,High Risk
77.8,89.41,48.76,19.13,3.99,3,Male,72.45,Low Risk
77.57,70.24,54.55,81.53,3.36,2,Female,74.85,Low Risk
58.75,66.43,43.71,75.61,3.99,4,Male,70.81,Low Risk
4.98,71.81,23.84,45.15,1.47,2,Male,35.14,High Risk
94.77,90.19,4.89,83.83,2.04,5,Other,67.79,Medium Risk
97.22,93.57,65.5,70.58,1.23,5,Other,71.12,Low Risk
39.61,62.59,97.32,66.18,0.06,5,Other,47.32,High Risk
87.67,97.81,62.57,73.72,1.93,8,Male,73.99,Low Risk
40.88,21.76,58.83,31.7,0.14,3,Female,29.03,High Risk
99.23,39.3,8.92,58.11,3.68,5,Other,65.72,Medium Risk
69.27,59.43,14.77,81.61,0.15,4,Male,44.6,High Risk
96.26,65.99,41.74,54.24,3.65,8,Other,74.47,Low Risk
62.83,20.19,54.75,77.08,3.76,6,Female,63.02,Medium Risk
79.9,25.64,87.8,75.23,3.93,1,Other,74.12,Low Risk
61.03,62.35,13.51,69.35,2.7,5,Other,57.03,Medium Risk
6.09,54.01,54.73,75.68,3.93,8,Other,56.45,Medium Risk
55.38,4.42,76.98,32.35,1.13,3,Male,38.19,High Risk
42.74,50.95,18.1,46.3,1.49,3,Female,39.85,High Risk
79.24,49.13,70.45,7.83,3.03,1,Other,60.32,Medium Risk
53.19,18.72,98.86,81.83,2.97,3,Female,62.71,Medium Risk
6.74,93.15,12.38,19.8,3.06,7,Male,44.27,High Risk
53.88,74.74,67.42,80.49,3.11,6,Female,70.04,Low Risk
85.04,93.78,77.92,65.63,3.19,5,Male,81.49,Low Risk
38.07,38.41,61.7,6.08,2.62,1,Female,43.74,High Risk
82.53,85.12,74.38,47.13,3.56,8,Other,78.13,Low Risk
98.99,63.44,63.61,7.22,3.88,1,Other,72.31,Low Risk
65.41,93.52,14.54,45.09,3.09,4,Female,63.31,Medium Risk
57.41,68.43,6.08,15.31,1.33,2,Other,39.56,High Risk
43.23,84.24,76.41,58.56,3.99,6,Other,72.84,Low Risk
82.84,86.2,17.53,35.34,0.95,6,Male,51.82,Medium Risk
90.66,39.9,45.99,96.42,2.96,4,Male,70.51,Low Risk
27.55,88.64,68.08,89.57,0.62,4,Other,52.14,Medium Risk
68.1,56.73,43.79,35.01,0.91,4,Female,45.88,High Risk
44.21,70.52,83.83,56.3,2.8,2,Other,63.68,Medium Risk
21.54,93.86,63.86,89.96,0.44,6,Female,49.98,High Risk
95.91,70.73,98.79,97.13,3.68,8,Other,90.51,Low Risk
40.32,80.89,29.38,68.48,2.9,8,Other,59.06,Medium Risk
91.33,85.71,57.68,38.54,3.85,2,Other,78.47,Low Risk
52.19,19.7,7.64,20.23,0.22,6,Male,22.54,High Risk
13.33,74.67,41.85,1.54,2.11,2,Male,37.96,High Risk
19.48,48.6,4.41,41.56,3.15,5,Male,41.17,High Risk
97.57,78.47,8.75,92.06,3.38,3,Male,76.33,Low Risk
48.01,99.76,11.44,85.2,3.45,6,Female,68.01,Medium Risk
60.16,48.62,26.02,41.87,3.03,1,Other,53.88,Medium Risk
6.13,59.59,11.9,24.48,1.32,5,Other,27.16,High Risk
67.77,81.45,23.53,27.62,3.86,5,Male,65.03,Medium Risk
99.78,44.86,26.01,85.31,0.45,1,Other,53.43,Medium Risk
59.2,2.55,0.75,85.16,0.19,7,Female,29.38,High Risk
43.11,3.59,53.46,99.35,3.83,6,Male,58.35,Medium Risk
40.57,75.62,98.73,91.45,3.45,1,Female,75.36,Low Risk
63.9,0.23,99.34,28.09,0.25,4,Female,36.7,High Risk
92.48,79.45,45.46,94.88,2.36,5,Female,74.81,Low Risk
48.22,24.53,88.49,13.84,0.22,4,Other,33.69,High Risk
10.78,47.87,26.03,39.24,2.15,2,Male,35.5,High Risk
79.01,19.76,37.21,78.02,2.11,4,Male,54.18,Medium Risk
46.7,32.41,82.4,34.34,2.49,7,Other,51.23,Medium Risk
1.68,27.1,77.74,91.0,1.75,7,Male,42.09,High Risk
85.43,57.5,49.49,91.09,3.35,7,Other,74.88,Low Risk
11.82,83.65,90.83,82.27,3.24,8,Other,65.9,Medium Risk
72.58,56.69,75.84,98.34,1.68,8,Female,66.11,Medium Risk
83.47,91.64,84.63,87.19,3.64,2,Male,87.72,Low Risk
31.88,99.38,82.97,55.39,3.78,1,Male,72.22,Low Risk
9.39,86.4,5.55,33.91,0.54,4,Female,28.92,High Risk
99.61,78.34,65.48,56.95,2.82,5,Male,76.56,Low Risk
76.12,82.46,32.09,97.31,2.65,8,Male,71.49,Low Risk
85.96,37.82,85.17,24.17,2.47,4,Other,60.89,Medium Risk
89.69,92.48,21.33,54.23,0.94,8,Male,58.13,Medium Risk
61.98,71.69,65.63,87.53,3.51,6,Male,74.74,Low Risk
43.69,20.87,4.61,46.26,3.26,8,Other,43.1,High Risk
11.85,21.68,27.46,40.13,2.12,5,Male,30.69,High Risk
39.75,58.48,12.81,32.11,0.77,8,Male,33.18,High Risk
20.94,58.78,23.26,6.42,3.07,6,Female,40.63,High Risk
74.38,94.88,97.9,89.33,0.53,6,Other,68.97,Medium Risk
67.37,95.14,99.47,68.92,1.65,5,Male,71.44,Low Risk
90.04,77.75,19.02,31.39,3.75,2,Male,69.06,Medium Risk
59.45,95.2,90.65,74.94,0.08,6,Female,59.24,Medium Risk
