Feature,SHAP_Value,Absolute_SHAP
remainder__attendance,0.013609629450126278,0.013609629450126278
remainder__internal_marks,-0.011671462810916198,0.011671462810916198
categorical__semester_4,0.007764079546770027,0.007764079546770027
remainder__assignment_score,0.007445344305698894,0.007445344305698894
categorical__semester_8,0.006726579631428723,0.006726579631428723
categorical__semester_3,-0.005647567642943558,0.005647567642943558
categorical__semester_2,0.005001636726036831,0.005001636726036831
remainder__previous_gpa,0.004101591652264415,0.004101591652264415
remainder__quiz_score,-0.00288495294507075,0.00288495294507075
categorical__gender_Female,0.00199484670600466,0.00199484670600466
categorical__semester_6,-0.0015238608881558001,0.0015238608881558001
categorical__gender_Male,-0.00041194248702537223,0.00041194248702537223
categorical__semester_5,-0.0003962288443842533,0.0003962288443842533
categorical__semester_1,-0.00011002375555930199,0.00011002375555930199
categorical__semester_7,9.416215309718857e-06,9.416215309718857e-06
